ppb,batch,batch_build_time_us,batch_proof_time_us,proof1_us,proof2_us,proof3_us,batch_proof_size_kb,final_compressed_verification_time_us,peak_mem_gb
1,1,47226552,0,0,,,10.36,5027916,90.88
1,2,49245880,0,0,,,10.36,5027916,90.88
1,3,46889266,0,0,,,10.36,5027916,90.88
1,4,46945899,0,0,,,10.36,5027916,90.88
1,5,49791040,0,0,,,10.36,5027916,90.88
2,1,47884879,1017531,0,1017530.0,,10.59,3720561,93.95
2,2,46555029,1025430,0,1025430.0,,10.6,3720561,93.95
2,3,53260297,1146212,0,1146212.0,,10.6,3720561,93.95
2,4,49801164,1165958,0,1165957.0,,10.6,3720561,93.95
2,5,52580995,1423586,0,1423586.0,,10.59,3720561,93.95
3,1,49274540,2978036,0,1156224.0,1821811.0,10.59,4736244,93.39
3,2,53156720,2680324,0,1137889.0,1542433.0,10.59,4736244,93.39
3,3,51762705,2334520,0,1031561.0,1302958.0,10.6,4736244,93.39
3,4,50339210,2567990,0,1140282.0,1427707.0,10.59,4736244,93.39
3,5,54686933,3255429,0,1485340.0,1770088.0,10.6,4736244,93.39
