ppb,batch,batch_build_time_us,batch_proof_time_us,proof1_us,proof2_us,proof3_us,batch_proof_size_kb,final_verification_time_us,peak_mem_gb
1,1,5589323,21829163,21829163,,,118.85,281480,188.07
1,2,9684369,35225884,35225884,,,124.23,281480,188.07
1,3,7737362,30134170,30134170,,,124.23,281480,188.07
1,4,8719798,30602958,30602958,,,124.23,281480,188.07
1,5,8324920,29945180,29945180,,,124.23,281480,188.07
2,1,13065712,49515190,15776422,33738768.0,,243.08,240864,208.2
2,2,16883116,64741256,32978925,31762331.0,,248.45,240864,208.2
2,3,16293796,59882518,30392604,29489914.0,,248.45,240864,208.2
2,4,15722211,59437797,30626250,28811547.0,,248.45,240864,208.2
2,5,16473797,60292728,32137564,28155164.0,,248.45,240864,208.2
3,1,19086626,72412313,15502354,27869147.0,29040811.0,367.3,342650,214.77
3,2,26823100,112609265,29008295,42753437.0,40847532.0,372.68,342650,214.77
3,3,27633358,94875943,31360514,31104697.0,32410730.0,372.68,342650,214.77
3,4,25420818,91510143,30128863,31106295.0,30274984.0,372.68,342650,214.77
3,5,26319610,94434888,30614868,33187559.0,30632460.0,372.68,342650,214.77
